2024-11-30 11:25:01,005 - INFO - Loading pretrained weights from Hugging Face hub (timm/seresnext101_32x4d.gluon_in1k)
2024-11-30 11:25:01,008 - DEBUG - Starting new HTTPS connection (1): huggingface.co:443
2024-11-30 11:25:01,303 - DEBUG - https://huggingface.co:443 "HEAD /timm/seresnext101_32x4d.gluon_in1k/resolve/main/model.safetensors HTTP/11" 302 0
2024-11-30 11:25:01,310 - INFO - [timm/seresnext101_32x4d.gluon_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2024-11-30 11:25:01,553 - INFO - Creating a new model
2024-11-30 11:25:02,233 - INFO - Data prepared:
Train: 45000, Val: 5000
2024-11-30 11:25:02,233 - INFO - Data loaded
2024-11-30 11:25:02,238 - INFO - Epoch 1 started...
2024-11-30 11:25:02,238 - INFO - length of train_loader: 703
2024-11-30 11:25:05,848 - INFO - Batch 1 completed, loss = 0.6985
2024-11-30 11:25:09,034 - INFO - Batch 2 completed, loss = 0.6809
2024-11-30 11:25:12,033 - INFO - Batch 3 completed, loss = 0.6957
2024-11-30 11:25:15,082 - INFO - Batch 4 completed, loss = 0.6859
2024-11-30 11:25:18,024 - INFO - Batch 5 completed, loss = 0.6650
2024-11-30 11:25:21,176 - INFO - Batch 6 completed, loss = 0.6612
2024-11-30 11:25:24,157 - INFO - Batch 7 completed, loss = 0.6781
2024-11-30 11:25:27,259 - INFO - Batch 8 completed, loss = 0.6720
2024-11-30 11:25:30,274 - INFO - Batch 9 completed, loss = 0.6169
2024-11-30 11:25:33,232 - INFO - Batch 10 completed, loss = 0.6264
2024-11-30 11:25:36,099 - INFO - Batch 11 completed, loss = 0.6091
2024-11-30 11:25:39,150 - INFO - Batch 12 completed, loss = 0.6102
2024-11-30 11:25:42,004 - INFO - Batch 13 completed, loss = 0.5842
2024-11-30 11:25:44,996 - INFO - Batch 14 completed, loss = 0.5844
2024-11-30 11:25:47,871 - INFO - Batch 15 completed, loss = 0.5878
